
0x1F494	부서진,갈라서다,헤어짐,깨짐,실연,
0x1F496	흥분한,불꽃,반짝반짝,
0x1F497	성장,긴장된,펄스,
0x1F49D	선물상자,선물,
0x1F49E	회전하는,빙글빙글,
0x1F48C	편지,우편,러브레터,고백,연애편지,
0x1F4A4	잘래,
0x1F4A3	폭탄,뻥,제한시간,
0x1F4A5	폭발,쾅,펑,팡,
0x1F4A6	땀방울,물방울,
0x1F4A8	대시,런,부웅,
0x1F4AB	기절,핑,
0x1F4AC	연설,대화중,입력중,침묵,말풍선,
0x1F4AD	고민중,생각중,
0x1F454	넥타이,정장,와이셔츠,출근,
0x1F457	원피스,드레스,치마,옷,
0x1F459	비키니,수영복,
0x1F45F	운동,신발,캔버스화,운동화,
0x1F460	하이힐,힐,구두,뾰족,
0x1F451	왕,퀸,킹,방장,왕관,크라운,
0x1F3A9	모자,마술사,신사,
0x1F393	졸업,학사모,
0x1F484	립밤,
0x1F48D	다이아몬드,예물,결혼반지,장신구,악세사리,반지,
0x1F48E	보석,다이아,
0x1F436	개,진돗개,시바견,강아지,멍멍,
0x1F431	야옹,
0x1F437	돼지,꿀꿀,
0x1F43C	팬더,쿵푸팬더,팬더곰,판다,
0x1F43E	앞발,동물발,
0x1F426	새,파파고,앵무새,
0x1F438	개구리,두꺼비,청개구리,개굴개굴,
0x1F433	분출,고래,
0x1F41F	물고기,생선,참치,아쿠아리움,회,
0x1F490	꽃다발,꽃집,
0x1F338	벚꽃,사쿠라,봄,
0x1F339	장미,
0x1F33A	히비스커스,꽃,무궁화,
0x1F33B	해바라기,
0x1F33C	코스모스,
0x1F337	튤립,
0x1F333	활엽수,가로수,정글,나무,
0x1F334	야자수,코코넛,야자,휴양지,
0x1F335	선인장,사막,식물,
0x1F33E	쌀,귀리,곡물,보리,밀,
0x1F33F	잎,줄기,잎파리,
0x1F343	바람,펄럭,나뭇잎,
0x1F349	수박,여름,
0x1F34C	바나나,
0x1F34D	파인애플,상큼,
0x1F34E	아이폰,사과,
0x1F351	복숭아,피치,천도,
0x1F352	체리,앵두,
0x1F353	딸기,스트로베리,
0x1F357	닭다리,뼈,치킨,치맥,닭고기,고기,
0x1F354	햄버거,롯데리아,맥도날드,버거킹,맘스터치,
0x1F35F	감자튀김,프렌치프라이,감자,튀김,
0x1F355	피자,피자헛,미스터피자,파파존스,도미노피자,피자스쿨,
0x1F364	새우,쉬림프,통새우,알새우,크림새우,새우튀김,
0x1F366	아이스크림,부드러운,단,크림,디저트,얼음,베스킨,콘,소프트콘,아이스크릠,
0x1F369	도넛,던킨,도너츠,빵,
0x1F382	케이크,생과자,파리바게트,케익,
0x1F370	카페,
0x1F36B	초콜릿,초콜렛,초코,
0x1F37C	젖병,마실것,우유병,분유,
0x2615	커피,핫,차,음료,스벅,할리스,파스쿠찌,다방,
0x1F377	와인,유리,포도주,
0x1F378	칵테일,모히또,
0x1F37A	맥주,호프,생맥,맥주잔,비어,
0x1F37B	건배,
0x1F374	포크,칼,레스토랑,돈까스,스테이크,양식,
0x1F52A	도구,무기,부엌칼,나이프,쓱싹쓱싹,식칼,
0x1F30D	아프리카,유럽,지구,세계,지구본,글로벌,
0x1F30E	아메리카,
0x1F3E0	집,우리집,이층집,
0x1F3E1	정원,전원주택,마이홈,
0x1F303	밤,별,도시,서울,야경,야근,
0x1F305	아침,해돋이,일출,
0x1F306	황혼,저녁,풍경,일몰,새벽,
0x1F307	노을,
0x1F309	대교,
0x1F30C	밀키웨이,별똥별,은하,은하수,밤하늘,
0x1F488	폴,미용,이발소,
0x1F3AD	예술,공연,극장,팩,연극,가면,
0x1F3A8	박물관,그림,팔레트,아트,화가,물감,
0x1F697	자동차,전기차,승용차,
0x1F698	다가오는,
0x1F6B2	자전거,바이크,
0x26FD	연료,연료펌프,가스,펌프,주유소,기름,충전,
0x1F6A8	표지,빛,싸이렌,경보,경고,긴급,삐용삐용,삐뽀삐뽀,위험,
0x2693	닻,
0x26F5	요트,범선,
0x1F6A2	타이타닉,여객선,유람선,
0x2708	비행기,비행,여행,출국,입국,
0x1F680	미사일,핵미사일,쿠팡,로켓,
0x1F311	어둠,달,구,
0x1F319	초승달,세일러문,눈썹달,
0x2600	광선,맑은,햇님,
0x1F31E	해,
0x2B50	작은별,스타,
0x1F31F	빛나는,스파클,반짝,블링,
0x1F320	떨어지는,유성,
0x2601	날씨,흐림,구름,흐린,흐리다,흐려,
0x1F300	태풍,트위스터,허리케인,회오리,토네이도,
0x1F308	무지개,레인보우,스펙트럼,
0x26A1	전기,번개,전압,기력,전류,자기장,자력,천둥,썬더,낙뢰,스파크,
0x1F525	파이어,불타,불,화염,뜨거움,더움,
0x1F30A	물,파도,쓰나미,해일,피서,
0x1F386	불꽃놀이,폭죽,화약,번쩍,
0x2728	샤이니,번쩍번쩍,
0x1F389	포퍼,팡파레,
0x1F38A	공,운동회,함성,체육,
0x1F38E	인형,제전,히나마츠리,
0x1F380	매듭,
0x1F381	상자,
0x1F3C6	트로피,우승,우수,상장,상,
0x26BD	축구공,축구,패스,슛,
0x26BE	야구공,야구,베이스볼,홈런,안타,타자,투수,
0x1F3C0	농구공,농구,바스켓볼,슬램덩크,덩크슛,덩크,조던,
0x1F3C8	럭비공,럭비,미식축구,
0x1F3B2	주사위,경기,확률,
0x1F50A	볼륨,음질,소리,음량,안내,
0x1F4E2	확성기,공지,사이렌,
0x1F514	벨,골든벨,종소리,구세군,딩동댕,띵동,벨소리,종,
0x1F3BC	악보,악기,피아노,연주,오선지,
0x1F3B5	음표,음악,뮤직,
0x1F3B6	음악회,
0x1F3A4	마이크,노래방,가수,
0x1F3A7	헤드셋,헤드폰,이어비드,
0x1F3B8	기타,일렉,
0x260E	전화,집전화,전화번호,전화기,따르릉,
0x1F4BF	시디,디스크,광학,콤팩트디스크,
0x1F3A5	카메라,영화,감독,시네마,영화관,비디오,
0x1F4F7	디카,캐논,
0x1F4A1	전구,아이디어,에디슨,아하,깜빡임,
0x1F4D6	책,펴다,시험,오픈북,독서,서적,책갈피,공부,사전,
0x1F4DA	도서,공책,책방,서점,
0x1F4B0	주머니,돈주머니,돈가방,부자,
0x1F4B5	은행,지폐,통화,돈다발,
0x1F4B8	날개,지출,세금,금리,파산,
0x2702	가위,잘라내기,싹둑,싹둑싹둑,편집,절단,
0x1F513	자물쇠,터놓다,잠금해제,열림,풀림,언락,해제,
0x1F510	키,안전한,잠금,보안,락,
0x1F511	암호,
0x1F52B	총,권총,리볼버,탕,빵야빵야,
0x1F489	바늘,헌혈,주사,주사바늘,예방접종,주사기,
0x1F48A	바이러스,약국,처방,약,캡슐,알약,
0x1F6AC	흡연,담배,연기,흡연구역,스모킹,
0x1F52E	수정구,크리스탈,행운,마술,플라즈마,마녀,점쟁이,구슬,점술,
0x1F6AE	쓰레기,쓰레기통,분리수거,
0x1F6AB	출입금지,
0x27A1	방향,동쪽,우회전,방향키,방향지시,
0x264A	쌍둥이자리,별자리,
0x264C	사자자리,
0x25B6	재생,놀이,플레이어,동영상,플레이,
0x267B	재활용,리사이클,
0x2705	체크,빈체크,
0x274C	취소,곱셈,곱하기,거부,아니오,
0x2796	마이너스,수학,빼기,뺄셈,
0x203C	느낌표,
0x2753	물음표,문장부호,질문,의문,
0x2755	생각나다,깨닳음,발견,
0x2757	중요,
0x00AE	등기,
0x2122	트레이드마크,등록상표,티엠,상표,
0x1F51F	키캡,텐,십,
0x1F4AF	100,백,점수,100점,만점,백점,
0x1F170	혈액형,에이,에이형,
0x1F171	비,비형,
0x1F192	시원한,시원,시원하다,쿨,시원해,쿨하게,
0x1F193	무료,자유,프리,공짜,
0x24C2	엠,모바일,
0x1F195	새로운,새롭게,신기술,뉴,신상,새로움,신규,
0x1F197	승낙,
0x1F17F	주차,파킹,주차장,
0x1F199	업,뛰다,점프,오르다,위로,
0x25AB	사각형,사각,네모,체크박스,
0x25FB	버튼,
0x26AA	바둑돌,백돌,흰돌,
0x26AB	흑돌,
0x1F534	빨강,빨간색,빨간불,
0x1F535	파란불,
0x1F923	구르는,
0x1F917	포옹,껴안는,
0x1F610	중립국,
0x1F611	표현력이없는,
0x1F62E	동정,
0x1F910	지퍼,
0x1F643	거꾸로,
